map,scenid,total,20move,total-src,20move-src,distance,path_size,hLevel
hrt002d,0,162,158,225,121,1,2,1
hrt002d,1,289,248,205,200,3.82843,4,1
hrt002d,2,206,199,156,147,3.82843,4,1
hrt002d,3,187,178,103,101,2.41421,3,1
hrt002d,4,235,211,128,125,2.41421,3,1
hrt002d,5,181,172,150,159,3,4,1
hrt002d,6,174,156,93,90,1.41421,2,1
hrt002d,7,136,149,115,114,2.82843,3,1
hrt002d,8,193,198,128,130,2.41421,3,1
hrt002d,9,215,216,123,120,2.41421,3,1
hrt002d,10,277,275,311,305,7.41421,8,1
hrt002d,11,186,193,208,201,6,7,1
hrt002d,12,252,232,231,219,7.82843,8,1
hrt002d,13,249,248,217,216,5.41421,6,1
hrt002d,14,263,277,302,309,6.41421,7,1
hrt002d,15,286,267,189,193,6,7,1
hrt002d,16,273,275,214,228,7.24264,7,1
hrt002d,17,324,333,210,200,5.82843,6,1
hrt002d,18,284,289,146,144,5.24264,5,1
hrt002d,19,280,258,229,243,6.65685,6,1
hrt002d,20,374,361,362,354,9.89949,8,1
hrt002d,21,314,297,326,310,9.41421,10,1
hrt002d,22,284,292,346,360,11.8995,10,1
hrt002d,23,401,389,485,482,11.4142,12,1
hrt002d,24,281,271,273,283,9.07107,8,1
hrt002d,25,174,191,308,339,11.4142,12,1
hrt002d,26,388,382,363,358,10.6569,10,1
hrt002d,27,314,300,347,353,10.4142,11,1
hrt002d,28,228,216,304,301,10.8284,11,1
hrt002d,29,274,285,308,329,11.2426,11,1
hrt002d,30,475,427,467,477,13.6569,13,1
hrt002d,31,386,355,482,489,14.8284,15,1
hrt002d,32,260,267,440,439,13.4142,14,1
hrt002d,33,207,205,491,476,15.8284,16,1
hrt002d,34,332,317,387,402,14.0711,13,1
hrt002d,35,254,260,404,424,12.8284,13,1
hrt002d,36,215,209,365,387,15.4853,14,1
hrt002d,37,468,417,447,436,15.2426,15,1
hrt002d,38,565,560,418,408,14.6569,14,1
hrt002d,39,390,366,467,440,15.8284,16,1
hrt002d,40,373,377,607,616,19.8284,20,1
hrt002d,41,460,431,515,587,17.8284,18,1
hrt002d,42,243,241,492,519,16,17,1
hrt002d,43,410,423,503,517,19.1421,16,1
hrt002d,44,380,375,541,560,16.4853,15,1
hrt002d,45,490,470,558,579,19.2426,19,1
hrt002d,46,435,428,443,439,18.1421,15,1
hrt002d,47,399,389,386,390,16.4853,15,1
hrt002d,48,333,368,463,458,19.6569,19,1
hrt002d,49,469,463,420,444,16.4853,15,1
hrt002d,50,621,566,834,837,23.3137,21,1
hrt002d,51,381,385,628,671,23.5563,20,1
hrt002d,52,577,516,526,497,23.5563,20,1
hrt002d,53,514,513,674,711,21.8995,20,1
hrt002d,54,362,386,520,538,20.1421,17,1
hrt002d,55,665,691,765,766,21.0711,20,1
hrt002d,56,399,429,640,634,21.0711,20,1
hrt002d,57,549,573,634,638,21.3137,19,1
hrt002d,58,435,398,566,515,22.8284,23,1
hrt002d,59,558,556,593,635,21.6569,21,1
hrt002d,60,562,474,752,647,25.4853,24,1
hrt002d,61,329,332,623,598,27.3137,25,1
hrt002d,62,199,193,676,682,24.0711,23,1
hrt002d,63,625,506,769,676,24.4853,23,1
hrt002d,64,385,374,499,538,24.3137,22,1
hrt002d,65,459,370,713,680,25.3137,23,1
hrt002d,66,449,337,500,477,26.3137,24,1
hrt002d,67,570,564,760,646,26.7279,24,1
hrt002d,68,343,305,679,528,25.6569,25,1
hrt002d,69,630,503,845,673,27.4853,26,1
hrt002d,70,479,360,675,499,31.3137,29,1
hrt002d,71,471,261,595,435,31.3137,29,1
hrt002d,72,457,272,615,427,31.8995,30,1
hrt002d,73,494,485,747,678,29.3848,25,1
hrt002d,74,471,247,604,356,29.6569,29,1
hrt002d,75,569,519,587,558,31.3137,29,1
hrt002d,76,471,441,658,569,30.3137,28,1
hrt002d,77,727,483,768,520,30.8995,29,1
hrt002d,78,457,443,695,577,30.3137,28,1
hrt002d,79,561,418,698,606,29.7279,27,1
hrt002d,80,708,560,785,596,35.1421,32,1
hrt002d,81,528,402,551,473,33.3848,29,1
hrt002d,82,467,325,718,540,34.4853,33,1
hrt002d,83,352,154,639,423,33.6569,33,1
hrt002d,84,597,441,725,555,33.7279,31,1
hrt002d,85,488,228,616,364,34.8995,33,1
hrt002d,86,601,446,628,568,33.3848,29,1
hrt002d,87,526,363,793,490,33.7279,31,1
hrt002d,88,472,315,783,515,33.6569,33,1
hrt002d,89,470,399,697,550,32.3137,30,1
hrt002d,90,501,294,702,509,38.5563,35,1
hrt002d,91,517,394,805,560,38.4853,37,1
hrt002d,92,601,339,895,549,36.8995,35,1
hrt002d,93,756,326,862,483,38.4853,37,1
