map,scenid,total,20move,distance,path_size,hLevel
lak102d,0,337,306,2.41421,3,1
lak102d,1,178,190,2,3,1
lak102d,2,156,176,2,3,1
lak102d,3,164,166,2,3,1
lak102d,4,245,256,3.41421,4,1
lak102d,5,373,358,3.41421,4,1
lak102d,6,174,166,1,2,1
lak102d,7,268,277,2,3,1
lak102d,8,288,317,3.41421,4,1
lak102d,9,171,162,1,2,1
lak102d,10,154,150,6,7,1
lak102d,11,287,283,5.41421,6,1
lak102d,12,385,387,7.41421,8,1
lak102d,13,284,289,4.41421,5,1
lak102d,14,385,398,5.82843,6,1
lak102d,15,284,284,5.41421,6,1
lak102d,16,281,275,7.41421,8,1
lak102d,17,256,281,4.41421,5,1
lak102d,18,385,367,6.41421,7,1
lak102d,19,298,285,7.82843,8,1
lak102d,20,243,241,11.4142,12,1
lak102d,21,281,288,9.24264,9,1
lak102d,22,266,294,9.82843,10,1
lak102d,23,229,221,9.89949,8,1
lak102d,24,340,359,8.41421,9,1
lak102d,25,256,259,10.2426,10,1
lak102d,26,323,330,10.4142,11,1
lak102d,27,692,690,11.2426,11,1
lak102d,28,357,403,9.41421,10,1
lak102d,29,544,539,9.24264,9,1
lak102d,30,460,471,14.2426,14,1
lak102d,31,535,514,12.2426,12,1
lak102d,32,400,352,15.8995,14,1
lak102d,33,410,374,15.6569,15,1
lak102d,34,410,443,13.4853,12,1
lak102d,35,180,178,14,15,1
lak102d,36,579,559,14.8995,13,1
lak102d,37,386,387,15.4142,16,1
lak102d,38,240,244,12.4142,13,1
lak102d,39,404,417,15.6569,15,1
lak102d,40,244,243,19.2426,19,1
lak102d,41,534,501,17.7279,15,1
lak102d,42,427,405,17.2426,17,1
lak102d,43,389,342,18.6569,18,1
lak102d,44,276,239,16.8284,17,1
lak102d,45,429,419,19.2426,19,1
lak102d,46,385,374,19.4142,20,1
lak102d,47,553,536,16.1421,13,1
lak102d,48,777,685,19.4853,18,1
lak102d,49,289,274,16.8284,17,1
lak102d,50,356,326,20.0711,19,1
lak102d,51,749,763,23.2426,23,1
lak102d,52,694,682,21.8995,20,1
lak102d,53,576,565,21.4853,20,1
lak102d,54,603,627,20.3137,18,1
lak102d,55,589,573,20.2426,20,1
lak102d,56,432,437,20.4853,19,1
lak102d,57,429,451,21.1421,18,1
lak102d,58,425,435,20.6569,20,1
lak102d,59,383,420,20.0711,19,1
lak102d,60,706,650,24.0711,23,1
lak102d,61,698,668,25.5563,22,1
lak102d,62,516,547,25.4853,24,1
lak102d,63,731,672,26.4853,25,1
lak102d,64,770,767,27.7279,25,1
lak102d,65,720,624,25.8995,24,1
lak102d,66,629,504,27.3137,25,1
lak102d,67,537,478,27.2132,22,1
lak102d,68,650,513,26.8995,25,1
lak102d,69,687,537,26.4853,25,1
lak102d,70,477,422,28.0711,27,1
lak102d,71,532,449,29.2426,29,1
lak102d,72,757,506,30.4853,29,1
lak102d,73,402,251,31.2426,31,1
lak102d,74,769,527,29.9706,26,1
lak102d,75,740,530,30.5563,27,1
lak102d,76,731,610,29.0711,28,1
lak102d,77,523,478,30.1421,27,1
lak102d,78,673,481,30.6569,30,1
lak102d,79,407,270,30.3137,28,1
lak102d,80,392,320,32.2426,32,1
lak102d,81,704,449,35.6569,35,1
lak102d,82,793,658,35.3137,33,1
lak102d,83,758,665,33.2132,28,1
lak102d,84,832,549,34.5563,31,1
lak102d,85,681,686,32.3137,30,1
lak102d,86,594,383,35.2426,35,1
lak102d,87,722,604,32.8995,31,1
lak102d,88,638,625,32.5563,29,1
lak102d,89,363,273,34.2426,34,1
lak102d,90,560,472,36.4142,37,1
lak102d,91,286,210,37.2426,37,1
lak102d,92,713,348,37.8995,36,1
lak102d,93,727,564,37.3137,35,1
lak102d,94,698,359,37.8995,36,1
lak102d,95,567,467,36.3137,34,1
lak102d,96,392,232,36.2426,36,1
lak102d,97,735,442,38.0711,37,1
lak102d,98,663,646,38.3137,36,1
lak102d,99,573,525,37.8284,38,1
