map,scenid,total,20move,total-src,20move-src,distance,path_size,hLevel
lak202d,0,225,187,222,149,1.41421,2,0
lak202d,1,266,266,258,237,3.82843,4,0
lak202d,2,183,176,126,126,1,2,0
lak202d,3,167,156,238,213,3,4,0
lak202d,4,210,167,163,165,2.82843,3,0
lak202d,5,274,227,174,207,3.82843,4,0
lak202d,6,167,162,112,107,1.41421,2,0
lak202d,7,158,147,218,156,2,3,0
lak202d,8,271,262,169,192,2.41421,3,0
lak202d,9,362,367,238,234,3.82843,4,0
lak202d,10,294,279,488,381,7.65685,7,0
lak202d,11,231,224,333,298,6.24264,6,0
lak202d,12,163,178,230,243,4.24264,4,0
lak202d,13,337,331,385,402,7.82843,8,0
lak202d,14,371,382,466,325,6.41421,7,0
lak202d,15,315,298,331,312,4.82843,5,0
lak202d,16,175,175,374,310,5.65685,5,0
lak202d,17,197,159,233,255,4.24264,4,0
lak202d,18,249,250,259,238,5.65685,5,0
lak202d,19,205,198,227,227,4.41421,5,0
lak202d,20,317,299,399,355,9.41421,10,0
lak202d,21,391,400,462,445,8.82843,9,0
lak202d,22,239,241,384,342,11.8284,12,0
lak202d,23,324,328,331,324,8.41421,9,0
lak202d,24,399,372,502,436,9.89949,8,0
lak202d,25,214,199,403,350,8.41421,9,0
lak202d,26,128,152,522,437,10,11,0
lak202d,27,311,277,639,565,11.8284,12,0
lak202d,28,362,360,360,310,8.24264,8,0
lak202d,29,407,424,602,548,11.2426,11,0
lak202d,30,387,334,591,633,12.6569,12,0
lak202d,31,503,492,685,670,15.3137,13,0
lak202d,32,387,352,662,615,13.6569,13,0
lak202d,33,362,338,630,633,12.6569,12,0
lak202d,34,272,281,927,611,14.4142,15,0
lak202d,35,539,487,723,607,15.4853,14,0
lak202d,36,331,311,686,571,15.0711,14,0
lak202d,37,531,521,530,546,14.4853,13,0
lak202d,38,338,283,478,480,12,13,0
lak202d,39,281,268,580,512,14.8284,15,0
lak202d,40,579,532,753,724,19.799,15,0
lak202d,41,361,340,694,689,18.1421,15,0
lak202d,42,283,324,906,798,18.2426,18,0
lak202d,43,365,369,804,588,17.0711,16,0
lak202d,44,487,503,724,624,19.1421,16,0
lak202d,45,468,403,921,721,19.7279,17,0
lak202d,46,723,689,921,801,18.9706,15,0
lak202d,47,338,318,886,763,18.8284,19,0
lak202d,48,483,441,921,772,18.4853,17,0
lak202d,49,527,495,595,619,16.6569,16,0
lak202d,50,317,289,486,510,20.0711,19,0
lak202d,51,179,193,738,703,20,21,0
lak202d,52,277,250,1098,843,20.2426,20,0
lak202d,53,338,316,932,826,22.2426,22,0
lak202d,54,677,642,830,685,22.8995,21,0
lak202d,55,253,271,835,739,21.6569,21,0
lak202d,56,276,273,981,766,21.8284,22,0
lak202d,57,609,602,710,689,22.7279,20,0
lak202d,58,292,322,910,818,20.3137,18,0
lak202d,59,277,260,943,907,20.4142,21,0
lak202d,60,316,193,881,833,24,25,0
lak202d,61,647,609,1600,1107,25.8995,24,0
lak202d,62,361,143,1111,828,26.4142,27,0
lak202d,63,930,801,1026,742,27.9706,24,0
lak202d,64,902,640,897,836,26.7279,24,0
lak202d,65,691,732,1096,913,27.1421,24,0
lak202d,66,273,280,995,719,27.4142,28,0
lak202d,67,659,625,1130,1046,24.1421,21,0
lak202d,68,326,321,841,861,25.4853,24,0
lak202d,69,692,696,897,826,25.5563,22,0
lak202d,70,538,283,1226,820,31.5563,28,0
lak202d,71,763,638,1166,887,29.2132,24,0
lak202d,72,1005,921,1434,961,31.8995,30,0
lak202d,73,611,591,1104,966,28.5563,25,0
lak202d,74,414,207,964,682,31.4853,30,0
lak202d,75,811,597,872,762,28.9706,25,0
lak202d,76,458,267,842,603,28.7279,26,0
lak202d,77,585,353,1164,925,31.799,27,0
lak202d,78,334,342,855,537,30.0711,29,0
lak202d,79,722,713,1192,912,30.799,26,0
lak202d,80,677,431,1265,811,33.1421,30,0
lak202d,81,490,381,1878,1025,32.6569,32,0
lak202d,82,461,332,1270,941,35.4853,34,0
lak202d,83,463,249,1373,795,33.0711,32,0
lak202d,84,501,527,1574,1047,33.4853,32,0
lak202d,85,308,320,1049,702,35.7279,33,0
lak202d,86,473,215,1410,800,32.0711,31,0
lak202d,87,618,368,1175,836,33.9706,30,0
lak202d,88,855,553,1221,812,35.2132,30,0
lak202d,89,521,506,1140,821,32.4853,31,0
lak202d,90,627,391,1158,631,39.799,35,0
lak202d,91,781,659,1118,669,37.799,33,0
lak202d,92,825,512,1078,680,39.1127,31,0
lak202d,93,1083,426,1358,781,37.3848,33,0
lak202d,94,824,607,1599,1040,39.2132,34,0
lak202d,95,553,308,871,628,38.0416,32,0
lak202d,96,683,571,1424,837,38.2132,33,0
lak202d,97,574,405,1725,851,39.0711,38,0
lak202d,98,644,238,984,550,38.3137,36,0
lak202d,99,309,300,2119,1032,36.8284,37,0
lak202d,100,652,400,1533,817,42.0416,36,0
lak202d,101,435,419,1346,756,41.4853,40,0
lak202d,102,727,605,1691,920,40.799,36,0
lak202d,103,550,499,1522,793,42.6569,42,0
lak202d,104,502,298,1495,825,43.4558,37,0
lak202d,105,742,577,1747,836,43.6274,38,0
lak202d,106,425,278,1160,542,40.1421,37,0
lak202d,107,531,556,1444,913,40.1421,37,0
lak202d,108,489,293,1907,879,41.0711,40,0
lak202d,109,887,547,1374,596,42.2843,35,0
lak202d,110,829,346,1581,733,47.5269,39,0
lak202d,111,581,577,1383,1016,44.1421,41,0
lak202d,112,864,472,1953,899,47.4558,41,0
lak202d,113,930,322,1817,748,47.6274,42,0
lak202d,114,638,567,1994,928,45.6569,45,0
lak202d,115,638,354,1605,858,45.8995,44,0
lak202d,116,798,542,1613,870,45.5269,37,0
lak202d,117,987,610,1513,757,46.6985,39,0
lak202d,118,758,525,1260,648,47.9411,39,0
lak202d,119,366,188,1347,470,45.3137,43,0
lak202d,120,923,549,1409,650,51.7696,42,0
lak202d,121,762,350,1241,549,50.7279,48,0
lak202d,122,345,276,2521,1081,49.0711,48,0
lak202d,123,633,232,1318,525,51.5269,43,0
lak202d,124,603,449,1818,747,48.0416,42,0
lak202d,125,502,211,1682,920,49.4853,48,0
lak202d,126,1081,529,1413,659,51.2843,44,0
lak202d,127,777,290,1489,718,48.3848,44,0
lak202d,128,463,335,1502,629,49.2426,49,0
lak202d,129,965,488,1846,973,51.9411,43,0
lak202d,130,986,630,2010,979,54.1421,51,0
lak202d,131,520,280,2005,855,54.9706,51,0
lak202d,132,694,444,1701,909,54.5269,46,0
lak202d,133,876,506,1925,882,54.4558,48,0
lak202d,134,339,196,1311,573,53.0711,52,0
lak202d,135,998,495,1721,726,53.0416,47,0
lak202d,136,428,230,1349,435,54.7279,52,0
lak202d,137,345,242,2396,882,54.8284,55,0
lak202d,138,783,296,1228,497,55.598,45,0
lak202d,139,722,168,1436,410,53.799,49,0
lak202d,140,604,128,1680,631,57.4853,56,0
lak202d,141,756,488,2098,684,57.1421,54,0
lak202d,142,865,602,1864,769,59.7696,50,0
lak202d,143,692,402,1633,737,59.5563,56,0
lak202d,144,411,306,1003,443,57.0711,56,0
lak202d,145,707,522,2231,964,57.1421,54,0
lak202d,146,512,323,1728,792,57.3137,55,0
lak202d,147,879,284,2006,956,56.3848,52,0
lak202d,148,889,367,1919,719,56.2843,49,0
lak202d,149,752,398,1713,680,57.6274,52,0
lak202d,150,802,380,1755,534,61.6985,54,0
lak202d,151,680,225,1158,473,60.6985,53,0
lak202d,152,914,437,1973,719,63.1421,60,0
lak202d,153,1068,360,1598,600,60.2132,55,0
lak202d,154,877,400,2149,813,61.1127,53,0
lak202d,155,972,633,1799,850,60.5563,57,0
lak202d,156,1001,409,1952,843,60.6274,55,0
lak202d,157,732,456,1827,790,62.6569,62,0
lak202d,158,529,312,2325,757,60.7279,58,0
lak202d,159,700,320,1787,755,61.5269,53,0
lak202d,160,621,163,1925,624,66.9706,63,0
lak202d,161,554,442,3217,706,67.6569,67,0
lak202d,162,629,418,1992,675,66.6985,59,0
lak202d,163,979,356,1955,790,64.1838,54,0
lak202d,164,658,301,1804,734,67.9706,64,0
lak202d,165,544,306,1719,670,65.3848,61,0
lak202d,166,1028,471,2523,576,65.8701,59,0
lak202d,167,680,194,1498,451,66.3553,57,0
lak202d,168,1070,688,1741,867,66.3848,62,0
lak202d,169,641,303,2169,1027,66.7279,64,0
lak202d,170,450,262,2666,642,69.6569,69,0
lak202d,171,837,348,2274,652,70.1421,67,0
lak202d,172,704,516,2077,843,70.7279,68,0
lak202d,173,1240,592,2805,810,71.8701,65,0
lak202d,174,757,285,1806,526,69.0416,63,0
lak202d,175,773,166,1625,619,69.0416,63,0
lak202d,176,1182,696,2352,940,68.1838,58,0
lak202d,177,987,362,1659,560,68.4558,62,0
lak202d,178,953,226,1657,514,70.9411,62,0
lak202d,179,666,214,1829,542,70.6985,63,0
lak202d,180,560,399,1842,490,72.8995,71,0
lak202d,181,932,547,2049,756,74.3848,70,0
lak202d,182,818,220,1466,486,74.8406,63,0
lak202d,183,957,683,1796,548,74.0416,68,0
lak202d,184,1009,429,2448,939,74.6274,69,0
lak202d,185,325,262,1829,483,75.0711,74,0
lak202d,186,502,271,1561,443,73.8995,72,0
lak202d,187,362,216,2181,745,72.2426,72,0
lak202d,188,1037,337,2190,809,74.3259,60,0
lak202d,189,967,400,2298,903,73.6274,68,0
lak202d,190,774,400,2224,518,79.1421,76,0
lak202d,191,938,405,1924,743,76.9117,63,0
lak202d,192,733,217,1838,532,78.9411,70,0
lak202d,193,1204,583,1940,611,77.598,67,0
lak202d,194,841,412,1698,818,79.3259,65,0
lak202d,195,967,341,2029,789,78.0416,72,0
lak202d,196,598,435,2684,563,78.5563,75,0
lak202d,197,523,203,1629,431,76.9706,73,0
lak202d,198,1108,458,2968,1010,77.0122,66,0
lak202d,199,582,228,2427,802,76.7279,74,0
