map,scenid,total,20move,distance,path_size,hLevel
lgt600d,0,350,311,3.41421,4,0
lgt600d,1,183,171,2,3,0
lgt600d,2,70,67,0,0,0
lgt600d,3,345,340,3.41421,4,0
lgt600d,4,319,319,3.41421,4,0
lgt600d,5,191,172,3,4,0
lgt600d,6,263,240,1.41421,2,0
lgt600d,7,335,352,3.41421,4,0
lgt600d,8,294,324,3.41421,4,0
lgt600d,9,193,176,1,2,0
lgt600d,10,251,253,5.24264,5,0
lgt600d,11,345,350,6.65685,6,0
lgt600d,12,315,326,7.65685,7,0
lgt600d,13,363,403,7.82843,8,0
lgt600d,14,309,298,7.24264,7,0
lgt600d,15,177,191,4.24264,4,0
lgt600d,16,284,266,4.82843,5,0
lgt600d,17,338,327,7.41421,8,0
lgt600d,18,333,365,5.41421,6,0
lgt600d,19,294,314,6.24264,6,0
lgt600d,20,548,580,11.6569,11,0
lgt600d,21,280,286,8.07107,7,0
lgt600d,22,271,261,8.65685,8,0
lgt600d,23,414,449,11.6569,11,0
lgt600d,24,311,305,10.4853,9,0
lgt600d,25,288,287,9.41421,10,0
lgt600d,26,282,289,11.4853,10,0
lgt600d,27,287,300,8.41421,9,0
lgt600d,28,322,318,8.41421,9,0
lgt600d,29,169,161,10,11,0
lgt600d,30,349,343,15.8995,14,0
lgt600d,31,298,291,12.2426,12,0
lgt600d,32,477,444,14.4853,13,0
lgt600d,33,212,197,14.1421,11,0
lgt600d,34,336,267,12.4853,11,0
lgt600d,35,523,522,13.4853,12,0
lgt600d,36,313,303,13.6569,13,0
lgt600d,37,300,292,12.2426,12,0
lgt600d,38,289,288,14.6569,14,0
lgt600d,39,348,348,15.7279,13,0
lgt600d,40,308,280,16.1421,13,0
lgt600d,41,597,611,17.8995,16,0
lgt600d,42,180,195,19.799,15,0
lgt600d,43,315,302,18.2426,18,0
lgt600d,44,380,352,19.4142,20,0
lgt600d,45,412,356,17.0711,16,0
lgt600d,46,415,400,16.4853,15,0
lgt600d,47,488,472,18.3848,14,0
lgt600d,48,161,180,18,19,0
lgt600d,49,278,281,17.8284,18,0
lgt600d,50,296,298,20.8284,21,0
lgt600d,51,343,361,20.3848,16,0
