map,scenid,total,20move,total-src,20move-src,distance,path_size,hLevel
orz901d,0,443,268,278,198,1.41421,2,0
orz901d,1,499,273,340,593,2,3,0
orz901d,2,672,462,335,547,2.41421,3,0
orz901d,3,300,159,240,302,2.82843,3,0
orz901d,4,403,331,241,241,1,2,0
orz901d,5,651,401,219,233,2.41421,3,0
orz901d,6,347,208,130,159,1,2,0
orz901d,7,574,395,219,338,2.41421,3,0
orz901d,8,247,215,427,377,3,4,0
orz901d,9,416,276,410,633,2,3,0
orz901d,10,340,185,422,815,5.65685,5,0
orz901d,11,208,142,514,654,7,8,0
orz901d,12,748,596,517,587,4.82843,5,0
orz901d,13,608,481,426,473,5.65685,5,0
orz901d,14,679,356,810,1107,6.82843,7,0
orz901d,15,1006,742,674,952,4.82843,5,0
orz901d,16,487,423,414,347,5.65685,5,0
orz901d,17,563,360,691,821,7.41421,8,0
orz901d,18,786,598,814,820,4.82843,5,0
orz901d,19,558,478,627,722,5.41421,6,0
orz901d,20,1013,614,1056,1635,8.65685,8,0
orz901d,21,1067,714,1140,1419,11.0711,10,0
orz901d,22,1562,1111,1762,1957,11.4853,10,0
orz901d,23,555,362,1263,986,11.0711,10,0
orz901d,24,489,360,1072,1019,11.0711,10,0
orz901d,25,659,456,1204,1355,9.07107,8,0
orz901d,26,938,477,1072,1435,10.2426,10,0
orz901d,27,752,532,681,923,9.24264,9,0
orz901d,28,708,610,766,834,8.07107,7,0
orz901d,29,1053,765,678,1622,9.24264,9,0
orz901d,30,1445,960,1260,2876,12.3137,10,0
orz901d,31,679,386,1452,1649,12.6569,12,0
orz901d,32,857,391,1531,1718,12.4853,11,0
orz901d,33,486,413,990,812,15.1421,12,0
orz901d,34,637,402,1323,1715,13.6569,13,0
orz901d,35,500,283,1084,1058,13.2426,13,0
orz901d,36,687,611,1198,1202,12.3137,10,0
orz901d,37,633,278,1340,2081,12.4853,11,0
orz901d,38,666,394,2021,1330,14.7279,12,0
orz901d,39,544,344,1575,1981,13.8284,14,0
orz901d,40,576,527,1493,1296,18.0711,17,0
orz901d,41,932,500,2125,1201,16.4853,15,0
orz901d,42,374,295,1000,656,16.0711,15,0
orz901d,43,928,639,2010,3211,18.8995,17,0
orz901d,44,1461,912,2411,3882,19.7279,17,0
orz901d,45,757,484,1594,1609,16.1421,13,0
orz901d,46,903,759,1860,1893,18.8995,17,0
orz901d,47,1015,558,1795,2606,18.5563,15,0
orz901d,48,1281,943,2315,1978,19.9706,16,0
orz901d,49,548,355,1647,2256,17.2426,17,0
orz901d,50,941,309,2548,3156,20.4142,21,0
orz901d,51,780,424,2210,2577,20.4142,21,0
orz901d,52,538,350,1846,2149,20.6569,20,0
orz901d,53,1586,1013,1499,2727,21.1421,18,0
orz901d,54,581,579,2605,2016,20.1421,17,0
orz901d,55,556,305,2212,2358,22.3848,18,0
orz901d,56,576,338,2011,2705,20.8284,21,0
orz901d,57,683,367,2363,2412,21,22,0
orz901d,58,1827,1222,2599,3153,22.799,18,0
orz901d,59,819,531,2593,2460,23.4142,24,0
orz901d,60,696,562,2961,2157,27.4142,28,0
orz901d,61,2726,1255,2613,3524,24.9706,21,0
orz901d,62,1170,680,2940,2815,25.2426,25,0
orz901d,63,640,473,2448,1723,26.7279,24,0
orz901d,64,982,641,2338,3413,24.3137,22,0
orz901d,65,648,480,3204,2099,25.3137,23,0
orz901d,66,860,770,2918,4197,26.0416,20,0
orz901d,67,851,513,2885,1849,25.3848,21,0
orz901d,68,1487,807,2462,2980,26.2426,26,0
orz901d,69,1009,745,2113,1682,24.7279,22,0
orz901d,70,810,655,2457,1361,28.0711,27,0
orz901d,71,959,402,1819,1008,31.8284,32,0
orz901d,72,884,721,3776,2108,31.799,27,0
orz901d,73,507,432,2434,1318,28.9706,25,0
orz901d,74,1263,684,2530,3168,29.2426,29,0
orz901d,75,3315,1387,3403,5552,29.8701,23,0
orz901d,76,938,786,3174,2907,28.2843,21,0
orz901d,77,1166,631,3532,3267,29.1421,26,0
orz901d,78,1367,772,3108,1927,31.2132,26,0
orz901d,79,1521,1016,3283,2219,31.3137,29,0
orz901d,80,899,603,3221,3106,33.8995,32,0
orz901d,81,518,339,3419,2536,34.6569,34,0
orz901d,82,1251,1038,3566,1922,34.2132,29,0
orz901d,83,716,245,3207,1557,35.4142,36,0
orz901d,84,565,480,2992,2177,32.6274,27,0
orz901d,85,1609,1071,3124,1926,33.1421,30,0
orz901d,86,1400,551,3625,4633,32.8995,31,0
orz901d,87,1263,814,2676,3491,35.2132,30,0
orz901d,88,1169,659,3178,2867,34.1421,31,0
orz901d,89,1573,732,4247,6095,35.9706,32,0
orz901d,90,2069,1036,4423,4425,38.799,34,0
orz901d,91,400,355,3406,1602,39.8284,40,0
orz901d,92,3449,1004,3962,3735,38.0416,32,0
orz901d,93,1325,676,4599,2978,38.6985,31,0
orz901d,94,1427,759,2519,2626,39.6569,39,0
orz901d,95,805,635,3765,2889,37.8995,36,0
orz901d,96,4190,1006,3021,3145,36.8995,35,0
orz901d,97,1054,587,5111,2306,37.5269,29,0
orz901d,98,1047,943,4440,2845,38.3137,36,0
orz901d,99,1521,721,3548,3249,37.5563,34,0
orz901d,100,1143,1082,3932,2067,41.2132,36,0
orz901d,101,1240,1006,3254,2449,41.2132,36,0
orz901d,102,961,659,2489,1412,42.2426,42,0
orz901d,103,412,185,3873,2447,41,42,0
orz901d,104,2772,982,2883,3045,40.8701,34,0
orz901d,105,395,268,3633,2340,41,42,0
orz901d,106,2759,1307,4021,3962,43.799,39,0
orz901d,107,643,475,3817,2232,43.799,39,0
orz901d,108,1123,734,5182,2648,42.799,38,0
orz901d,109,1848,766,4125,3084,42.1421,39,0
orz901d,110,1554,1075,3449,2908,44.799,40,0
orz901d,111,2156,952,4344,2790,47.1127,39,0
orz901d,112,1106,733,4893,2461,44.6985,37,0
orz901d,113,1163,533,4220,2468,46.7279,44,0
orz901d,114,1602,1022,4680,2489,44.4853,43,0
orz901d,115,920,369,4156,1205,45.6274,40,0
orz901d,116,1431,836,4791,2495,45.2426,45,0
orz901d,117,2620,669,4296,3933,44.1421,41,0
orz901d,118,1610,769,5457,2347,46.8406,35,0
orz901d,119,3629,1439,4204,2818,45.4264,34,0
orz901d,120,968,625,4506,2993,50.3137,48,0
orz901d,121,1485,321,4962,3373,51.8995,50,0
orz901d,122,3403,1611,6163,4723,49.3848,45,0
orz901d,123,1172,368,3662,2319,48.4853,47,0
orz901d,124,1241,547,5919,1701,51.3137,49,0
orz901d,125,1166,561,4408,1739,48.5269,40,0
orz901d,126,1646,782,2955,2537,50.3848,46,0
orz901d,127,1182,709,4527,2307,48.8995,47,0
orz901d,128,1565,844,5464,2606,50.6985,43,0
orz901d,129,1512,865,4080,2526,51.9706,48,0
orz901d,130,1416,614,4979,1851,55.1421,52,0
orz901d,131,1875,782,5650,3368,54.799,50,0
orz901d,132,987,656,6086,2966,54.2132,49,0
orz901d,133,2632,647,5599,2746,53.5269,45,0
orz901d,134,2118,752,5430,3782,55.3848,51,0
orz901d,135,1044,692,3945,1625,53.4853,52,0
orz901d,136,2794,1577,5540,2980,52.8701,46,0
orz901d,137,1040,553,4510,1194,55.3848,51,0
orz901d,138,1020,893,5489,2603,52.9706,49,0
orz901d,139,2169,817,4370,3849,54.7696,45,0
orz901d,140,923,594,5741,1913,56.6985,49,0
orz901d,141,966,200,4906,893,59.7279,57,0
orz901d,142,2187,206,3794,869,59.6274,54,0
orz901d,143,2991,390,4835,4339,56.2843,49,0
orz901d,144,5242,1259,5769,4261,58.598,48,0
orz901d,145,2435,884,4739,2754,57.4975,44,0
orz901d,146,892,757,5583,2105,59.5685,44,0
orz901d,147,3096,842,5813,3732,56.9706,53,0
orz901d,148,3348,919,4830,2566,57.6985,50,0
orz901d,149,2119,739,3479,2494,58.6274,53,0
orz901d,150,2084,566,5084,2634,63.4558,57,0
orz901d,151,1884,723,3919,877,62.8701,56,0
orz901d,152,3778,348,5374,674,63.2132,58,0
orz901d,153,4516,603,6070,3852,62.799,58,0
orz901d,154,1291,412,4941,2206,60.3259,46,0
orz901d,155,1200,568,6950,3216,63.7696,54,0
orz901d,156,1323,558,3363,1243,63.7401,49,0
orz901d,157,1064,648,6030,2819,60.2132,55,0
orz901d,158,687,448,5626,1885,60.6569,60,0
orz901d,159,1328,363,5431,2073,61.1127,53,0
orz901d,160,1083,442,6699,3035,67.598,57,0
orz901d,161,2355,1096,5834,4212,66.1127,58,0
