map,scenid,total,20move,distance,path_size,hLevel
orz999d,0,653,365,1.41421,2,0
orz999d,1,353,264,1.41421,2,0
orz999d,2,247,162,2,3,0
orz999d,3,276,181,1,2,0
orz999d,4,502,286,3,4,0
orz999d,5,543,354,1,2,0
orz999d,6,953,560,2.41421,3,0
orz999d,7,215,204,1,2,0
orz999d,8,353,245,2,3,0
orz999d,9,377,286,2,3,0
orz999d,10,483,335,4.24264,4,0
orz999d,11,473,351,6,7,0
orz999d,12,831,462,7.24264,7,0
orz999d,13,447,378,5,6,0
orz999d,14,709,518,7.41421,8,0
orz999d,15,805,410,7.82843,8,0
orz999d,16,790,587,5.24264,5,0
orz999d,17,491,452,4.82843,5,0
orz999d,18,394,366,4,5,0
orz999d,19,806,604,5.41421,6,0
orz999d,20,753,591,11.6569,11,0
orz999d,21,654,393,10.0711,9,0
orz999d,22,601,414,11.8284,12,0
orz999d,23,765,380,11.4142,12,0
orz999d,24,821,404,11.2426,11,0
orz999d,25,481,340,9.07107,8,0
orz999d,26,793,612,9.07107,8,0
orz999d,27,685,404,10.0711,9,0
orz999d,28,748,590,9.24264,9,0
orz999d,29,617,567,10.4853,9,0
orz999d,30,770,650,15.4853,14,0
orz999d,31,772,670,15.5563,12,0
orz999d,32,1042,687,15.1421,12,0
orz999d,33,522,462,14.8284,15,0
orz999d,34,1249,761,12.7279,10,0
orz999d,35,478,401,12.8995,11,0
orz999d,36,917,674,14.8995,13,0
orz999d,37,490,316,14.3137,12,0
orz999d,38,606,520,12.2426,12,0
orz999d,39,767,534,15.6569,15,0
orz999d,40,557,448,16.6569,16,0
orz999d,41,737,470,17.7279,15,0
orz999d,42,411,277,19,20,0
orz999d,43,951,404,18.3848,14,0
orz999d,44,785,550,17.4853,16,0
orz999d,45,779,663,19.7279,17,0
orz999d,46,1208,641,17.4853,16,0
orz999d,47,791,570,17.8995,16,0
orz999d,48,1065,775,18.9706,15,0
orz999d,49,457,383,18.6569,18,0
orz999d,50,672,442,20.4142,21,0
orz999d,51,1294,805,22.9706,19,0
orz999d,52,864,708,22.799,18,0
orz999d,53,1001,637,22.2132,17,0
orz999d,54,731,532,21.9706,18,0
orz999d,55,1121,673,23.0711,22,0
orz999d,56,759,390,20.4142,21,0
orz999d,57,726,358,23.2426,23,0
orz999d,58,687,468,23.3137,21,0
orz999d,59,542,446,21.8995,20,0
orz999d,60,802,518,27.6569,27,0
orz999d,61,596,323,26.3137,24,0
orz999d,62,852,692,25.8995,24,0
orz999d,63,694,404,27.7279,25,0
orz999d,64,642,570,25.8995,24,0
orz999d,65,553,429,26.4142,27,0
orz999d,66,1023,602,25.1421,22,0
orz999d,67,376,270,25,26,0
orz999d,68,614,557,25.5563,22,0
orz999d,69,606,370,24.2426,24,0
orz999d,70,1292,806,31.9706,28,0
orz999d,71,625,550,31.4853,30,0
orz999d,72,562,539,29.0711,28,0
orz999d,73,679,545,31.0711,30,0
orz999d,74,1023,727,30.4853,29,0
orz999d,75,1424,743,29.1421,26,0
orz999d,76,580,479,29.799,25,0
orz999d,77,515,472,28.8284,29,0
orz999d,78,691,568,29.1421,26,0
orz999d,79,332,254,30.8284,31,0
orz999d,80,1556,805,32.2843,25,0
orz999d,81,795,506,35.8284,36,0
orz999d,82,658,451,32.1421,29,0
orz999d,83,894,435,35.5563,32,0
orz999d,84,1373,858,33.0711,32,0
orz999d,85,618,408,34.4142,35,0
orz999d,86,954,499,34.5269,26,0
orz999d,87,1057,842,35.2132,30,0
orz999d,88,1388,661,35.7279,33,0
orz999d,89,851,486,32.6274,27,0
orz999d,90,1964,1266,38.6274,33,0
orz999d,91,1335,642,38.9706,35,0
orz999d,92,746,643,36.6274,31,0
orz999d,93,518,368,38.2426,38,0
orz999d,94,847,548,38.6274,33,0
orz999d,95,682,368,36.8995,35,0
