map,scenid,total,20move,distance,path_size,hLevel
ost001d,0,330,294,2.41421,3,1
ost001d,1,151,128,3,4,1
ost001d,2,169,140,1,2,1
ost001d,3,136,130,3,4,1
ost001d,4,177,160,3.41421,4,1
ost001d,5,309,280,3.41421,4,1
ost001d,6,138,151,1,2,1
ost001d,7,124,144,3,4,1
ost001d,8,143,135,1,2,1
ost001d,9,275,270,3.82843,4,1
ost001d,10,357,358,6.24264,6,1
ost001d,11,215,227,6.24264,6,1
ost001d,12,219,211,6.24264,6,1
ost001d,13,266,226,4.24264,4,1
ost001d,14,394,365,5.24264,5,1
ost001d,15,271,238,7.82843,8,1
ost001d,16,269,249,5.24264,5,1
ost001d,17,342,345,7.65685,7,1
ost001d,18,442,411,7.24264,7,1
ost001d,19,248,211,7.82843,8,1
ost001d,20,291,290,8.41421,9,1
ost001d,21,334,341,8.65685,8,1
ost001d,22,347,355,9.07107,8,1
ost001d,23,290,270,10.8284,11,1
ost001d,24,311,309,8.65685,8,1
ost001d,25,351,342,8.65685,8,1
ost001d,26,197,190,11.8284,12,1
ost001d,27,259,281,10.2426,10,1
ost001d,28,247,231,8.82843,9,1
ost001d,29,233,230,10.8284,11,1
ost001d,30,350,370,14.2426,14,1
ost001d,31,549,518,12.2426,12,1
ost001d,32,171,162,13,14,1
ost001d,33,450,412,15.2426,15,1
ost001d,34,217,219,15.2426,15,1
ost001d,35,367,341,13.0711,12,1
ost001d,36,219,212,12.4142,13,1
ost001d,37,272,281,14.8284,15,1
ost001d,38,349,347,15.8995,14,1
ost001d,39,399,375,12.2426,12,1
ost001d,40,251,256,17.2426,17,1
ost001d,41,205,214,17.6569,17,1
ost001d,42,438,426,17.1421,14,1
ost001d,43,629,608,18.2426,18,1
ost001d,44,513,480,18.4853,17,1
ost001d,45,228,221,17.4142,18,1
ost001d,46,134,131,17,18,1
ost001d,47,723,643,16.0711,15,1
ost001d,48,440,411,18.3848,14,1
ost001d,49,315,290,16.7279,14,1
ost001d,50,338,322,21.9706,18,1
ost001d,51,352,332,20.8995,19,1
ost001d,52,342,323,22.2426,22,1
ost001d,53,406,393,21.2132,16,1
ost001d,54,329,313,23.8284,24,1
ost001d,55,673,601,21.9706,18,1
ost001d,56,532,511,20.7279,18,1
ost001d,57,285,283,22.8995,21,1
ost001d,58,484,505,22.3137,20,1
ost001d,59,680,668,23.8995,22,1
ost001d,60,371,356,27.3137,25,1
ost001d,61,463,451,26.3848,22,1
ost001d,62,429,403,25.6569,25,1
ost001d,63,252,265,26.3848,22,1
ost001d,64,442,430,26.2426,26,1
ost001d,65,816,799,25.6569,25,1
ost001d,66,315,310,27.0711,26,1
ost001d,67,484,479,24.799,20,1
ost001d,68,750,680,27.7279,25,1
ost001d,69,400,400,26.5563,23,1
ost001d,70,424,417,30.8995,29,1
ost001d,71,691,487,28.0711,27,1
ost001d,72,574,558,31.4558,25,1
ost001d,73,262,246,31.3137,29,1
ost001d,74,258,269,31.8284,32,1
ost001d,75,391,288,31.8284,32,1
ost001d,76,489,401,31.2132,26,1
ost001d,77,424,323,29.2843,22,1
ost001d,78,581,596,29.4558,23,1
ost001d,79,247,231,28.2426,28,1
ost001d,80,593,538,34.8701,28,1
ost001d,81,640,575,34.6569,34,1
ost001d,82,908,812,32.0416,26,1
ost001d,83,550,433,32.0416,26,1
ost001d,84,1011,662,33.799,29,1
ost001d,85,614,564,33.4853,32,1
ost001d,86,378,288,35.4142,36,1
ost001d,87,568,526,34.8995,33,1
ost001d,88,695,476,34.6985,27,1
ost001d,89,430,182,33.8284,34,1
ost001d,90,906,681,36.6274,31,1
ost001d,91,1409,1102,39.0416,33,1
ost001d,92,654,400,37.9411,29,1
ost001d,93,484,492,36.6274,31,1
ost001d,94,662,646,36.3137,34,1
ost001d,95,510,445,36.9706,33,1
ost001d,96,541,312,37.9706,34,1
ost001d,97,543,561,39.4853,38,1
ost001d,98,355,343,36.8995,35,1
ost001d,99,628,427,38.3137,36,1
ost001d,100,711,458,42.0711,41,1
ost001d,101,1300,581,42.8701,36,1
ost001d,102,1159,1101,43.799,39,1
ost001d,103,529,339,43.0416,37,1
ost001d,104,843,330,41.3553,32,1
ost001d,105,783,762,40.9411,32,1
ost001d,106,629,202,42.3137,40,1
ost001d,107,1063,446,42.3848,38,1
ost001d,108,509,388,42.3848,38,1
ost001d,109,653,432,42.6274,37,1
ost001d,110,1041,712,45.5269,37,1
ost001d,111,934,902,46.6274,41,1
ost001d,112,471,454,47.0711,46,1
ost001d,113,656,286,44.5563,41,1
ost001d,114,410,297,46.3553,37,1
ost001d,115,608,365,44.3848,40,1
ost001d,116,671,470,44.0416,38,1
ost001d,117,570,337,45.3553,36,1
ost001d,118,532,510,46.4558,40,1
ost001d,119,510,304,45.5269,37,1
ost001d,120,579,443,48.0416,42,1
ost001d,121,927,767,48.7696,39,1
ost001d,122,834,591,49.0416,43,1
ost001d,123,709,491,50.5563,47,1
ost001d,124,560,299,51.8406,40,1
ost001d,125,1208,450,51.4264,40,1
ost001d,126,1042,271,50.9706,47,1
ost001d,127,758,317,51.2843,44,1
ost001d,128,737,399,49.3848,45,1
ost001d,129,639,229,51.9411,43,1
ost001d,130,1013,717,53.6274,48,1
ost001d,131,922,601,52.2132,47,1
ost001d,132,644,198,53.2426,53,1
ost001d,133,726,328,52.7279,50,1
ost001d,134,874,368,55.0833,42,1
ost001d,135,804,621,52.799,48,1
ost001d,136,851,333,53.4558,47,1
ost001d,137,839,695,52.598,42,1
ost001d,138,597,333,52.3137,50,1
ost001d,139,850,689,53.6985,46,1
ost001d,140,573,275,58.3848,54,1
ost001d,141,375,202,58.3137,56,1
ost001d,142,654,357,58.4558,52,1
ost001d,143,841,551,58.0833,45,1
ost001d,144,828,404,57.799,53,1
ost001d,145,609,381,57.6274,52,1
ost001d,146,437,225,59.4558,53,1
ost001d,147,812,470,59.4558,53,1
ost001d,148,1291,786,59.5269,51,1
ost001d,149,440,376,58.799,54,1
ost001d,150,922,490,60.9117,47,1
ost001d,151,878,282,61.1838,51,1
ost001d,152,1043,440,60.0122,49,1
ost001d,153,749,294,63.6985,56,1
ost001d,154,782,317,61.598,51,1
ost001d,155,1261,508,61.1127,53,1
ost001d,156,1070,803,62.2548,50,1
ost001d,157,371,346,63.6274,58,1
ost001d,158,824,596,63.0833,50,1
ost001d,159,480,282,61.7696,52,1
ost001d,160,1264,678,66.9411,58,1
ost001d,161,1361,673,67.5269,59,1
ost001d,162,790,447,66.9117,53,1
ost001d,163,688,225,67.0122,56,1
ost001d,164,739,369,64.799,60,1
ost001d,165,948,356,64.598,54,1
ost001d,166,993,329,66.4558,60,1
ost001d,167,982,371,65.1838,55,1
ost001d,168,959,522,65.0833,52,1
ost001d,169,715,332,65.3848,61,1
ost001d,170,1131,392,69.6985,62,1
ost001d,171,728,370,71.6985,64,1
ost001d,172,749,285,69.6274,64,1
ost001d,173,1122,351,68.9828,53,1
ost001d,174,646,403,68.2132,63,1
ost001d,175,1467,682,70.4264,59,1
ost001d,176,1361,478,69.4975,56,1
ost001d,177,724,312,71.7279,69,1
ost001d,178,721,464,71.3137,69,1
ost001d,179,1339,276,71.3553,62,1
ost001d,180,1202,618,75.9117,62,1
ost001d,181,789,324,74.7696,65,1
ost001d,182,1042,282,75.4558,69,1
ost001d,183,750,276,74.0122,63,1
ost001d,184,923,393,73.4558,67,1
ost001d,185,715,353,73.2843,66,1
ost001d,186,818,279,75.397,59,1
ost001d,187,1291,466,73.1127,65,1
ost001d,188,1068,577,74.2548,62,1
ost001d,189,1703,660,74.1838,64,1
ost001d,190,910,475,77.9117,64,1
ost001d,191,748,544,77.799,73,1
ost001d,192,1236,560,76.1838,66,1
ost001d,193,943,529,77.7696,68,1
ost001d,194,925,360,78.2132,73,1
ost001d,195,656,431,76.0833,63,1
ost001d,196,1035,458,79.598,69,1
ost001d,197,1123,217,77.799,73,1
ost001d,198,973,220,78.9411,70,1
ost001d,199,1061,590,78.9411,70,1
ost001d,200,975,433,83.2843,76,1
ost001d,201,920,334,83.6396,66,1
