map,scenid,total,20move,total-src,20move-src,distance,path_size,hLevel
ost002d,0,315,227,205,123,1.41421,2,1
ost002d,1,401,375,269,305,3.82843,4,1
ost002d,2,226,204,211,225,3,4,1
ost002d,3,159,132,256,242,3,4,1
ost002d,4,346,291,205,173,2.82843,3,1
ost002d,5,160,154,165,180,2,3,1
ost002d,6,260,256,174,147,2.41421,3,1
ost002d,7,265,214,189,195,3.82843,4,1
ost002d,8,206,214,126,124,2.41421,3,1
ost002d,9,156,152,134,132,1,2,1
ost002d,10,328,311,348,337,4.82843,5,1
ost002d,11,352,342,252,256,5.82843,6,1
ost002d,12,236,248,326,297,5.82843,6,1
ost002d,13,274,273,429,429,6.41421,7,1
ost002d,14,259,274,441,417,7.24264,7,1
ost002d,15,148,151,261,242,4,5,1
ost002d,16,209,218,212,236,4.82843,5,1
ost002d,17,341,306,193,203,5.24264,5,1
ost002d,18,185,195,222,193,5.82843,6,1
ost002d,19,173,163,361,342,4,5,1
ost002d,20,277,269,596,565,11.4142,12,1
ost002d,21,460,472,359,348,11.4853,10,1
ost002d,22,386,360,582,542,10.8284,11,1
ost002d,23,322,287,603,593,10.2426,10,1
ost002d,24,243,236,454,432,8.07107,7,1
ost002d,25,344,345,565,609,11.4853,10,1
ost002d,26,421,413,512,535,9.07107,8,1
ost002d,27,244,229,595,549,10.2426,10,1
ost002d,28,359,335,365,390,9.65685,9,1
ost002d,29,240,223,433,458,10,11,1
ost002d,30,384,371,532,568,15.5563,12,1
ost002d,31,240,209,549,615,13.8284,14,1
ost002d,32,250,239,675,683,15,16,1
ost002d,33,506,515,870,814,15.4853,14,1
ost002d,34,471,435,801,696,12.7279,10,1
ost002d,35,440,397,631,549,12.7279,10,1
ost002d,36,449,420,505,504,15.7279,13,1
ost002d,37,355,353,602,639,15.4142,16,1
ost002d,38,417,423,536,567,12.7279,10,1
ost002d,39,426,398,830,774,13.4853,12,1
ost002d,40,455,446,556,575,16.8995,15,1
ost002d,41,544,536,693,661,19.3848,15,1
ost002d,42,252,250,734,728,17.4142,18,1
ost002d,43,443,465,527,573,16.8995,15,1
ost002d,44,385,381,884,816,17.4142,18,1
ost002d,45,324,324,688,634,18.1421,15,1
ost002d,46,517,529,975,864,16.6569,16,1
ost002d,47,739,751,956,1009,19.5563,16,1
ost002d,48,247,232,679,693,17.4142,18,1
ost002d,49,625,557,884,955,19.4853,18,1
ost002d,50,397,405,725,806,20.6569,20,1
ost002d,51,988,806,992,956,20.7279,18,1
ost002d,52,229,223,1083,1097,20.4142,21,1
ost002d,53,276,272,796,915,21.2426,21,1
ost002d,54,749,691,885,931,20.7279,18,1
ost002d,55,443,471,562,589,23.1421,20,1
ost002d,56,476,491,803,722,20.8995,19,1
ost002d,57,551,585,842,982,22.0711,21,1
ost002d,58,671,681,849,906,23.3848,19,1
ost002d,59,790,720,1173,1057,23.3848,19,1
ost002d,60,426,446,901,951,25.9706,22,1
ost002d,61,341,343,699,724,26.799,22,1
ost002d,62,481,491,912,858,27.0416,21,1
ost002d,63,702,673,1231,1192,26.6274,21,1
ost002d,64,683,681,1025,1061,24.4853,23,1
ost002d,65,395,409,1079,1003,27.3848,23,1
ost002d,66,248,155,1090,877,26,27,1
ost002d,67,879,758,1275,1140,27.9706,24,1
ost002d,68,422,300,1147,987,24.8284,25,1
ost002d,69,180,233,648,613,25.0711,24,1
ost002d,70,1177,1246,1362,1220,28.4558,22,1
ost002d,71,639,553,1054,830,28.5563,25,1
ost002d,72,1042,1004,1356,1124,30.8701,24,1
ost002d,73,1108,788,1396,986,30.3137,28,1
ost002d,74,1077,704,1503,974,31.5563,28,1
ost002d,75,847,553,1270,1000,31.9706,28,1
ost002d,76,904,885,1521,1276,28.2132,23,1
ost002d,77,743,561,1339,1258,29.2132,24,1
ost002d,78,582,515,1566,1112,30.2426,30,1
ost002d,79,756,649,1470,1209,31.6274,26,1
ost002d,80,670,664,1360,997,33.4558,27,1
ost002d,81,1319,1026,1374,1150,34.4558,28,1
ost002d,82,281,241,808,704,33.8284,34,1
ost002d,83,145,111,723,474,33,34,1
ost002d,84,478,509,1309,643,35.4853,34,1
ost002d,85,594,566,1564,1242,33.3848,29,1
ost002d,86,852,821,1308,1055,33.5563,30,1
ost002d,87,552,531,1381,975,34.0711,33,1
ost002d,88,401,314,1322,1093,34.2843,27,1
ost002d,89,1214,1197,1415,1203,33.6274,28,1
ost002d,90,932,714,1483,1017,39.598,29,1
ost002d,91,868,744,1604,840,38.6274,33,1
ost002d,92,1323,983,1803,1360,37.6274,32,1
ost002d,93,771,660,1522,887,36.2426,36,1
ost002d,94,765,392,1829,944,38.7279,36,1
ost002d,95,633,581,1606,1080,37.3848,33,1
ost002d,96,970,634,1356,915,39.9411,31,1
ost002d,97,918,603,1508,1048,36.3848,32,1
ost002d,98,489,539,1236,926,37.4853,36,1
ost002d,99,903,486,1730,841,39.3137,37,1
ost002d,100,987,928,1615,1162,42.6274,37,1
ost002d,101,714,403,2248,1078,43.8995,42,1
ost002d,102,515,423,1343,646,41.7279,39,1
ost002d,103,310,253,1360,706,42.8284,43,1
ost002d,104,828,868,1647,917,41.9706,38,1
ost002d,105,635,605,1845,1134,43.0711,42,1
ost002d,106,365,347,960,634,43.2426,43,1
ost002d,107,413,414,1363,787,42.3848,38,1
ost002d,108,490,477,1508,1082,40.1421,37,1
ost002d,109,743,538,1413,799,43.4558,37,1
ost002d,110,838,407,1882,852,46.1421,43,1
ost002d,111,428,379,1670,941,47.2426,47,1
ost002d,112,793,277,1568,745,47.5563,44,1
ost002d,113,1078,521,1557,855,46.1838,36,1
ost002d,114,758,459,1681,1076,46.3553,37,1
ost002d,115,777,517,2006,919,47.6569,47,1
ost002d,116,1024,446,1542,813,45.7279,43,1
ost002d,117,763,444,1740,901,45.6274,40,1
ost002d,118,411,299,2398,1230,45.4142,46,1
