map,scenid,total-src,20move-src,distance,path_size,hLevel
random512-10-0,0,653,884,0,0,2
random512-10-0,1,125,75,0,0,2
random512-10-0,2,738,649,0,0,2
random512-10-0,3,826,843,0,0,2
random512-10-0,4,118,63,0,0,2
random512-10-0,5,779,763,0,0,2
random512-10-0,6,68,78,0,0,2
random512-10-0,7,1022,876,0,0,2
random512-10-0,8,1077,1063,0,0,2
random512-10-0,9,874,815,0,0,2
random512-10-0,10,1577,1804,0,0,2
random512-10-0,11,1436,1654,0,0,2
random512-10-0,12,1642,1701,0,0,2
random512-10-0,13,858,1069,0,0,2
random512-10-0,14,1796,1533,0,0,2
random512-10-0,15,1428,1608,0,0,2
random512-10-0,16,1590,2099,0,0,2
random512-10-0,17,2058,1617,0,0,2
random512-10-0,18,2064,1251,0,0,2
random512-10-0,19,1210,1173,0,0,2
random512-10-0,20,2012,1774,0,0,2
random512-10-0,21,1611,2163,0,0,2
random512-10-0,22,2652,1928,0,0,2
random512-10-0,23,1618,2202,0,0,2
random512-10-0,24,2449,2616,0,0,2
random512-10-0,25,2616,3251,0,0,2
random512-10-0,26,2924,2254,0,0,2
random512-10-0,27,1941,1608,0,0,2
random512-10-0,28,1830,2122,0,0,2
random512-10-0,29,2428,2301,0,0,2
random512-10-0,30,3219,3897,0,0,2
random512-10-0,31,3520,3657,0,0,2
random512-10-0,32,2664,2042,0,0,2
random512-10-0,33,2537,4165,0,0,2
random512-10-0,34,4434,3345,0,0,2
random512-10-0,35,3433,3745,0,0,2
random512-10-0,36,2757,3414,0,0,2
random512-10-0,37,2988,2792,0,0,2
random512-10-0,38,4179,3430,0,0,2
random512-10-0,39,2611,2483,0,0,2
random512-10-0,40,4634,4086,0,0,2
random512-10-0,41,3977,3590,0,0,2
random512-10-0,42,1738,2353,0,0,2
random512-10-0,43,3055,4800,0,0,2
random512-10-0,44,5296,4515,0,0,2
random512-10-0,45,4523,4704,0,0,2
random512-10-0,46,3526,4467,0,0,2
random512-10-0,47,3599,4570,0,0,2
random512-10-0,48,4195,3829,0,0,2
random512-10-0,49,4043,4164,0,0,2
random512-10-0,50,5474,6222,0,0,2
random512-10-0,51,4856,4282,0,0,2
random512-10-0,52,5331,6101,0,0,2
random512-10-0,53,3390,3432,0,0,2
random512-10-0,54,5629,4370,0,0,2
random512-10-0,55,3913,4163,0,0,2
random512-10-0,56,4606,4469,0,0,2
random512-10-0,57,5891,4006,0,0,2
random512-10-0,58,5313,5532,0,0,2
random512-10-0,59,5288,3459,0,0,2
random512-10-0,60,7915,4803,0,0,2
random512-10-0,61,6956,4665,0,0,2
random512-10-0,62,6871,6177,0,0,2
random512-10-0,63,7003,4690,0,0,2
random512-10-0,64,5441,4148,0,0,2
random512-10-0,65,4356,4842,0,0,2
random512-10-0,66,6110,6979,0,0,2
random512-10-0,67,6001,5848,0,0,2
random512-10-0,68,4968,4946,0,0,2
random512-10-0,69,6424,6323,0,0,2
random512-10-0,70,7360,5557,0,0,2
random512-10-0,71,6508,4289,0,0,2
random512-10-0,72,7731,6658,0,0,2
random512-10-0,73,6146,6002,0,0,2
random512-10-0,74,6974,4830,0,0,2
random512-10-0,75,6703,3413,0,0,2
random512-10-0,76,6596,5480,0,0,2
random512-10-0,77,7458,6295,0,0,2
random512-10-0,78,7467,5094,0,0,2
random512-10-0,79,6615,4628,0,0,2
random512-10-0,80,8599,4450,0,0,2
random512-10-0,81,7367,5390,0,0,2
random512-10-0,82,6427,5299,0,0,2
random512-10-0,83,7637,5149,0,0,2
random512-10-0,84,7742,6699,0,0,2
random512-10-0,85,6193,4799,0,0,2
random512-10-0,86,9375,4733,0,0,2
random512-10-0,87,5142,4487,0,0,2
random512-10-0,88,6237,4573,0,0,2
random512-10-0,89,5798,6472,0,0,2
random512-10-0,90,7488,4668,0,0,2
random512-10-0,91,8678,5380,0,0,2
random512-10-0,92,7528,5259,0,0,2
random512-10-0,93,8686,4554,0,0,2
random512-10-0,94,9384,5957,0,0,2
random512-10-0,95,8576,6194,0,0,2
random512-10-0,96,6629,4363,0,0,2
random512-10-0,97,8014,6591,0,0,2
random512-10-0,98,7342,5517,0,0,2
random512-10-0,99,9605,5009,0,0,2
random512-10-0,100,10730,5468,0,0,2
random512-10-0,101,8244,4737,0,0,2
random512-10-0,102,11528,6088,0,0,2
random512-10-0,103,9785,7178,0,0,2
random512-10-0,104,8601,6570,0,0,2
random512-10-0,105,7941,6709,0,0,2
random512-10-0,106,9228,5089,0,0,2
random512-10-0,107,10119,5297,0,0,2
random512-10-0,108,10522,4308,0,0,2
random512-10-0,109,10736,5796,0,0,2
random512-10-0,110,10033,5573,0,0,2
random512-10-0,111,9220,4892,0,0,2
random512-10-0,112,11022,7376,0,0,2
random512-10-0,113,10541,5902,0,0,2
random512-10-0,114,7972,3706,0,0,2
random512-10-0,115,9624,4818,0,0,2
random512-10-0,116,11978,5077,0,0,2
random512-10-0,117,12589,6883,0,0,2
random512-10-0,118,10865,7452,0,0,2
random512-10-0,119,8436,5709,0,0,2
random512-10-0,120,11690,5564,0,0,2
random512-10-0,121,9137,5145,0,0,2
random512-10-0,122,12423,5646,0,0,2
random512-10-0,123,8895,4276,0,0,2
random512-10-0,124,12267,3954,0,0,2
random512-10-0,125,11988,6031,0,0,2
random512-10-0,126,9791,5474,0,0,2
random512-10-0,127,12670,4921,0,0,2
random512-10-0,128,9597,4295,0,0,2
random512-10-0,129,11860,5191,0,0,2
random512-10-0,130,9985,3476,0,0,2
random512-10-0,131,14626,5054,0,0,2
random512-10-0,132,9594,4591,0,0,2
random512-10-0,133,14777,5910,0,0,2
random512-10-0,134,9148,4528,0,0,2
random512-10-0,135,14252,5937,0,0,2
random512-10-0,136,13671,5589,0,0,2
