map,scenid,total,20move,total-src,20move-src,distance,path_size,hLevel
rmtst,0,234,214,232,159,1,2,0
rmtst,1,188,182,122,171,1,2,0
rmtst,2,332,271,294,275,3.41421,4,0
rmtst,3,306,337,232,234,2.41421,3,0
rmtst,4,283,308,372,327,3.41421,4,0
rmtst,5,338,322,302,314,3.41421,4,0
rmtst,6,145,160,136,139,1,2,0
rmtst,7,257,230,258,236,3.41421,4,0
rmtst,8,170,191,148,169,1,2,0
rmtst,9,128,133,95,109,1,2,0
rmtst,10,369,392,514,521,7.65685,7,0
rmtst,11,262,267,349,340,4.41421,5,0
rmtst,12,278,273,521,442,6.82843,7,0
rmtst,13,389,382,502,525,7.24264,7,0
rmtst,14,265,281,539,599,7.65685,7,0
rmtst,15,300,298,445,404,4.82843,5,0
rmtst,16,533,537,558,454,6.24264,6,0
rmtst,17,283,276,504,451,7.65685,7,0
rmtst,18,332,325,421,471,7.41421,8,0
rmtst,19,362,334,390,449,6.24264,6,0
rmtst,20,275,280,358,445,8.48528,7,0
rmtst,21,313,332,652,578,9.41421,10,0
rmtst,22,626,652,674,655,9.48528,8,0
rmtst,23,489,468,719,651,11.4853,10,0
rmtst,24,293,273,627,525,8.48528,7,0
rmtst,25,273,258,466,492,11.4853,10,0
rmtst,26,386,402,645,745,11.8284,12,0
rmtst,27,319,289,552,633,10.2426,10,0
rmtst,28,502,429,751,552,10.8995,9,0
rmtst,29,269,254,608,619,10.8284,11,0
rmtst,30,475,496,781,784,13.6569,13,0
rmtst,31,250,223,774,695,13.7279,11,0
rmtst,32,471,434,923,908,12.6569,12,0
rmtst,33,381,370,784,813,13.6569,13,0
rmtst,34,479,420,922,965,15.3137,13,0
rmtst,35,271,260,797,786,14.8284,15,0
rmtst,36,270,265,922,943,13.8284,14,0
rmtst,37,482,467,1019,1072,13.8995,12,0
rmtst,38,311,274,761,818,13.8995,12,0
rmtst,39,139,152,784,869,14,15,0
rmtst,40,760,710,1024,1113,19.9706,16,0
rmtst,41,561,474,1341,1189,19.3137,17,0
rmtst,42,316,319,988,882,17.6569,17,0
rmtst,43,571,581,1115,1042,17.9706,14,0
rmtst,44,298,266,819,981,16.6569,16,0
rmtst,45,262,246,936,878,18.8995,17,0
rmtst,46,364,380,943,900,18.5563,15,0
rmtst,47,256,231,1059,842,17,18,0
rmtst,48,355,349,906,771,19.3848,15,0
rmtst,49,659,645,951,1229,17.1421,14,0
rmtst,50,688,643,1098,1119,20.3848,16,0
rmtst,51,554,446,1581,1283,22.6569,22,0
rmtst,52,312,290,1146,1066,20.3848,16,0
rmtst,53,301,160,1253,1173,23.4142,24,0
rmtst,54,561,525,1295,1378,20.799,16,0
