map,scenid,total,20move,distance,path_size,hLevel
rmtst01,0,168,125,2,3,1
rmtst01,1,185,169,1.41421,2,1
rmtst01,2,152,135,3,4,1
rmtst01,3,109,89,3,4,1
rmtst01,4,279,261,2.41421,3,1
rmtst01,5,273,234,3.82843,4,1
rmtst01,6,72,64,0,0,1
rmtst01,7,180,172,2.82843,3,1
rmtst01,8,187,162,3.82843,4,1
rmtst01,9,138,141,1,2,1
rmtst01,10,369,398,7.65685,7,1
rmtst01,11,253,232,4.41421,5,1
rmtst01,12,358,366,7.65685,7,1
rmtst01,13,245,249,4.41421,5,1
rmtst01,14,238,223,7.24264,7,1
rmtst01,15,211,232,5.41421,6,1
rmtst01,16,244,235,7.65685,7,1
rmtst01,17,166,165,7.07107,6,1
rmtst01,18,525,484,7.82843,8,1
rmtst01,19,256,252,4.82843,5,1
rmtst01,20,200,204,11.0711,10,1
rmtst01,21,231,224,9.41421,10,1
rmtst01,22,233,252,10.2426,10,1
rmtst01,23,328,333,10.8995,9,1
rmtst01,24,252,241,10.6569,10,1
rmtst01,25,321,283,11.3137,9,1
rmtst01,26,344,342,11.8284,12,1
rmtst01,27,240,227,9.24264,9,1
rmtst01,28,128,114,9,10,1
rmtst01,29,110,103,8,9,1
rmtst01,30,415,362,14.2426,14,1
rmtst01,31,562,550,15.3137,13,1
rmtst01,32,378,363,14.7279,12,1
rmtst01,33,107,131,13,14,1
rmtst01,34,307,288,13.0711,12,1
rmtst01,35,434,420,14.6569,14,1
rmtst01,36,279,273,12.0711,11,1
rmtst01,37,109,108,13,14,1
rmtst01,38,384,380,15.7279,13,1
rmtst01,39,475,479,14.0711,13,1
rmtst01,40,103,91,19,20,1
rmtst01,41,284,290,18.6569,18,1
rmtst01,42,781,708,19.4853,18,1
rmtst01,43,387,366,19.1421,16,1
rmtst01,44,215,217,18.1421,15,1
rmtst01,45,193,197,18.2426,18,1
rmtst01,46,507,497,17.3137,15,1
rmtst01,47,345,344,18.1421,15,1
rmtst01,48,399,387,16.0711,15,1
rmtst01,49,234,235,16.0711,15,1
rmtst01,50,455,428,22.0711,21,1
rmtst01,51,353,350,21.1421,18,1
rmtst01,52,306,272,23.2426,23,1
rmtst01,53,291,273,21.3137,19,1
rmtst01,54,201,207,21.2426,21,1
rmtst01,55,696,649,23.2426,23,1
rmtst01,56,333,313,21.4853,20,1
rmtst01,57,663,605,22.4853,21,1
rmtst01,58,367,352,20.5563,17,1
rmtst01,59,601,567,21.3848,17,1
rmtst01,60,385,371,26.0711,25,1
rmtst01,61,247,245,25.6569,25,1
rmtst01,62,349,379,25.8995,24,1
rmtst01,63,236,231,25.6569,25,1
rmtst01,64,556,501,27.0416,21,1
rmtst01,65,349,338,27.2132,22,1
rmtst01,66,686,584,25.8995,24,1
rmtst01,67,219,211,26.4853,25,1
rmtst01,68,111,113,24,25,1
rmtst01,69,280,289,24.7279,22,1
rmtst01,70,190,191,29.8284,30,1
rmtst01,71,400,351,28.3137,26,1
rmtst01,72,350,350,28.8701,22,1
rmtst01,73,328,313,29.2132,24,1
rmtst01,74,570,543,31.2426,31,1
rmtst01,75,801,616,30.2132,25,1
rmtst01,76,316,301,29.4853,28,1
rmtst01,77,380,248,31.9706,28,1
rmtst01,78,307,320,29.5563,26,1
rmtst01,79,768,603,31.2843,24,1
rmtst01,80,640,450,34.799,30,1
rmtst01,81,542,544,34.2132,29,1
rmtst01,82,371,300,34.1127,26,1
rmtst01,83,402,455,34.1421,31,1
rmtst01,84,367,375,34.3137,32,1
rmtst01,85,601,420,34.0711,33,1
rmtst01,86,495,389,33.799,29,1
rmtst01,87,419,330,32.2426,32,1
